epoch,avg_benefit,avg_tl_epoch_train,avg_tl_epoch_val
0,10.14558448791504,4.967667579650879,5.436299800872803
1,-2.899878811836243,5.269556045532227,5.536499977111816
2,-2.4009757161140444,5.357806205749512,5.5569000244140625
3,-2.3389933586120604,5.4288835525512695,5.569399833679199
4,-2.544685590267181,5.469812393188477,5.601600170135498
5,-2.1868109822273256,5.500912189483643,5.654300212860107
6,-2.0934019088745117,5.529613494873047,5.672800064086914
7,-2.1802528142929076,5.564752578735352,5.691699981689453
8,-2.4255007028579714,5.580113410949707,5.700799942016602
9,-2.1243723392486573,5.598903656005859,5.753200054168701
10,-2.4163477182388307,5.6190361976623535,5.750999927520752
11,-2.3404820919036866,5.642387390136719,5.794899940490723
12,-2.3800116777420044,5.661267280578613,5.8246002197265625
13,-2.8572792530059816,5.676926136016846,5.803699970245361
14,-2.883821439743042,5.685666084289551,5.821100234985352
15,-2.474037230014801,5.696287155151367,5.834400177001953
16,-2.4016556262969972,5.706202507019043,5.843599796295166
17,-2.431172013282776,5.713743686676025,5.857600212097168
18,-2.0946827292442323,5.719759941101074,5.850800037384033
19,-2.516469621658325,5.731442451477051,5.8653998374938965
20,-2.439975821971893,5.736462593078613,5.857600212097168
21,-2.471245813369751,5.744787216186523,5.85890007019043
22,-2.1860028982162474,5.756873607635498,5.8755998611450195
23,-2.8656291365623474,5.7666335105896,5.892099857330322
24,-2.3714046359062193,5.781671047210693,5.872000217437744
25,-2.308101439476013,5.793170928955078,5.894899845123291
26,-2.4986226558685303,5.803872585296631,5.912399768829346
27,-2.4234618544578552,5.815179824829102,5.945000171661377
28,-2.7653752326965333,5.8274149894714355,5.960899829864502
29,-2.1093420147895814,5.835620880126953,5.964300155639648
30,-2.3662522196769715,5.845305919647217,5.979400157928467
31,-2.4804251194000244,5.857341289520264,5.968400001525879
32,-2.507348358631134,5.870988368988037,6.002200126647949
33,-2.376664400100708,5.878053665161133,5.991499900817871
34,-2.6180660486221314,5.897353649139404,6.0644001960754395
35,-2.4184879779815676,5.924927234649658,6.0528998374938965
36,-2.013870692253113,5.948756217956543,6.089700222015381
37,-1.613452637195587,5.981368541717529,6.126800060272217
38,-2.171841299533844,6.007177352905273,6.168000221252441
39,-2.424272668361664,6.025872230529785,6.170100212097168
40,-2.3067881584167482,6.04141092300415,6.185999870300293
41,-2.2672866940498353,6.0586748123168945,6.2052001953125
42,-2.423576593399048,6.073879718780518,6.196199893951416
43,-2.422697353363037,6.088090896606445,6.2179999351501465
44,-2.501028370857239,6.093907356262207,6.226200103759766
45,-2.5342395305633545,6.101078510284424,6.225599765777588
46,-2.1626569628715515,6.111293792724609,6.23199987411499
47,-2.4845849514007567,6.120209693908691,6.263299942016602
48,-2.5560255527496336,6.1246562004089355,6.269899845123291
49,-2.30755535364151,6.129184722900391,6.283100128173828
50,-2.4047564268112183,6.133168697357178,6.276299953460693
51,-2.4435339331626893,6.1368584632873535,6.284900188446045
52,-2.471218633651733,6.1494622230529785,6.25629997253418
53,-2.319697451591492,6.1524786949157715,6.266200065612793
54,-2.4273520827293398,6.155673503875732,6.269599914550781
55,-2.38314688205719,6.168494701385498,6.2677001953125
56,-2.117023599147797,6.166733741760254,6.28439998626709
57,-2.4395757794380186,6.1751708984375,6.2947001457214355
58,-2.1926652073860167,6.175771236419678,6.304100036621094
59,-2.3338982820510865,6.180363655090332,6.297800064086914
60,-2.266384208202362,6.183471202850342,6.309199810028076
61,-2.4455565929412844,6.185941219329834,6.312300205230713
62,-2.1687847852706907,6.1921000480651855,6.302000045776367
63,-2.240717327594757,6.1972784996032715,6.301199913024902
